Feature,Importance
Fwd Packet Length Max,0.13156815881225978
Fwd Packet Length Mean,0.08869915177387475
Avg Fwd Segment Size,0.07086728221662825
Fwd IAT Std,0.05356065164805775
Subflow Fwd Bytes,0.05307429076592343
Fwd Header Length.1,0.05070029504181089
act_data_pkt_fwd,0.04655500384944891
Subflow Fwd Packets,0.044887123526000466
Bwd Packet Length Std,0.03852715511613476
Fwd Header Length,0.03716643531272881
Total Length of Fwd Packets,0.03380411888789407
Total Fwd Packets,0.03002071870982537
Fwd IAT Max,0.02603838170568159
Bwd Packet Length Max,0.02408975002298304
Subflow Bwd Packets,0.019224900006086294
Bwd Packets/s,0.017449883210375404
Bwd Header Length,0.015942122364622058
Average Packet Size,0.015460995671054413
Subflow Bwd Bytes,0.01508946663398012
Total Backward Packets,0.014805350247168877
Packet Length Variance,0.014672960420402123
Fwd IAT Total,0.012846177566553969
Bwd Packet Length Mean,0.012810812328194816
Packet Length Mean,0.012592709651749624
Flow Duration,0.01204203579519805
Flow IAT Std,0.011185341281787126
Avg Bwd Segment Size,0.010813750657539615
Packet Length Std,0.009821610519684899
Total Length of Bwd Packets,0.009547452490558815
Init_Win_bytes_backward,0.009056206286001877
Init_Win_bytes_forward,0.008843760404083599
Fwd Packet Length Std,0.007099836784865532
Fwd IAT Mean,0.006844302093220326
Flow IAT Max,0.005967235060059609
min_seg_size_forward,0.004791283553862097
Fwd IAT Min,0.004329839647857283
Max Packet Length,0.004058121689606723
Fwd Packet Length Min,0.0027144013874487553
Flow IAT Mean,0.0021586482649511097
Bwd IAT Mean,0.0016449298622790221
Flow Packets/s,0.0011976061061145353
Bwd Packet Length Min,0.0010626290319586662
Min Packet Length,0.0008806897850759512
Fwd Packets/s,0.0008111115142453653
Flow IAT Min,0.0007299988519668708
Bwd IAT Max,0.000637413637574515
PSH Flag Count,0.0005901373094818426
ACK Flag Count,0.0004883329342751861
Bwd IAT Min,0.0004746485846385314
Flow Bytes/s,0.0004383615303441933
FIN Flag Count,0.00042472909031912023
Down/Up Ratio,0.0001848376423216799
Bwd IAT Total,0.00017552294071631713
Bwd IAT Std,0.00013426677692900693
URG Flag Count,0.00011158312125669231
Idle Min,7.803255689463699e-05
Idle Mean,6.977467683927152e-05
Idle Max,5.2755070435245336e-05
Active Mean,2.5017724521733266e-05
Active Std,1.9846096386070565e-05
Active Min,1.875454134356866e-05
Active Max,1.649048097090026e-05
Idle Std,3.3018495795760517e-06
SYN Flag Count,1.1917049503058351e-06
Fwd PSH Flags,3.151722840831014e-07
ECE Flag Count,1.32162294412421e-13
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
